GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), 1/4 mile time(s),Absolute Throttle Position B(%),Acceleration Sensor(Total)(g),Accelerator PedalPosition F(%),Actual engine % torque(%),Ambient air temp(°F),Average trip speed(whilst moving only)(mph),Engine RPM(rpm),Fuel pressure(psi),GPS Altitude(ft),GPS Latitude(°),GPS Longitude(°),Relative Throttle Position(%),Speed (GPS)(mph),Speed (OBD)(mph),Torque(Nm)
Tue Oct 24 17:54:40 EDT 2017,54:39.8,-76.04114015,36.77200228,0,10,-21.29999924,0,0.2681506,4.09887314,8.58081913,-0.0112434,-,14.50980377,0.01692375,-,-,84.19999695,-,651,-,-69.88188934,36.77200317,-76.0411377,5.09803915,0,0,-
Tue Oct 24 17:54:41 EDT 2017,54:40.6,-76.04114013,36.77200229,0,10,-21.29999924,0,0.15322891,4.40533113,8.96389103,0.03725499,-,14.50980377,-0.00518618,-,-,84.19999695,-,652,-,-69.88188934,36.77200317,-76.0411377,5.09803915,0,0,-
Tue Oct 24 17:54:42 EDT 2017,54:42.2,-76.04114016,36.77200229,0,10,-21.29999924,0,-3.37103605,4.21379519,9.0788126,0.09560305,-,15.68627453,0.07697092,-,-,84.19999695,-,647,-,-69.88188934,36.77200317,-76.0411377,5.88235283,0,0,-
Tue Oct 24 17:54:44 EDT 2017,54:44.0,-76.04114023,36.77200229,0,10,-21.29999924,0,0.15322891,1.95366859,9.50019264,0.03015722,-,15.68627453,0.06596259,-,-,84.19999695,0.62137121,664,-,-69.88188934,36.77200317,-76.0411377,5.88235283,0,0.62137121,1.12882626
Tue Oct 24 17:54:46 EDT 2017,54:45.8,-76.04114018,36.77200231,0,10,-21.29999924,0,-0.15322891,2.48996973,10.11310768,0.02115786,-,15.68627453,0.00354906,-,-,84.19999695,0.93205678,668,-,-69.88188934,36.77200317,-76.0411377,5.88235283,0,1.24274242,1.9508239
Tue Oct 24 17:54:48 EDT 2017,54:47.6,-76.04114029,36.77200229,0,10,-21.39999962,0,-5.17147589,6.12915611,6.97191525,0.1022113,-,15.29411793,-0.00725134,-,-,84.19999695,1.44986606,699,-,-70.2099762,36.77200317,-76.0411377,5.88235283,0,2.48548484,7.38331032
Tue Oct 24 17:54:49 EDT 2017,54:49.4,-76.0411404,36.77200235,0,10,-21.39999962,0,-1.07260239,1.68551803,8.46589756,0.04279792,-,16.47058868,-0.11300591,-,-,84.19999695,1.55342793,679,-,-70.2099762,36.77200317,-76.0411377,6.66666698,0,1.86411357,7.38331032
Tue Oct 24 17:54:51 EDT 2017,54:51.2,-76.04114033,36.77200328,0,10,-21.39999962,0,-0.19153613,2.06859016,10.18972206,0.07907492,-,15.29411793,0.06043716,-,-,84.19999695,1.86411357,797,-,-70.2099762,36.77200317,-76.0411377,5.09803915,0,3.10685587,8.15719986
Tue Oct 24 17:54:53 EDT 2017,54:53.0,-76.04119514,36.77211597,1.5,10,-29.10000038,305.5,-0.99598789,2.14520478,8.81066227,-0.0510723,-,16.07843208,-0.06226403,-,-,84.19999695,2.1747992,769,-,-95.47244263,36.77211761,-76.04119873,6.27450991,3.35540414,3.72822714,5.08098412
Tue Oct 24 17:54:55 EDT 2017,54:54.8,-76.04122222,36.77213646,1.75,10,-27.89999962,297.5,0.49799395,2.29843354,10.15141487,0.05854089,-,16.07843208,0.12256953,-,-,86,2.30795002,840,-,-91.53543091,36.77213669,-76.04122162,6.66666698,3.91463828,3.10685587,5.08098412
