GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), 1/4 mile time(s),Absolute Throttle Position B(%),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Accelerator PedalPosition F(%),Actual engine % torque(%),Ambient air temp(°F),Average trip speed(whilst moving only)(mph),Barometric pressure (from vehicle)(psi),Drivers demand engine % torque(%),Engine RPM(rpm),Fuel pressure(psi),GPS Altitude(ft),GPS Latitude(°),GPS Longitude(°),Relative Throttle Position(%),Speed (GPS)(mph),Speed (OBD)(mph),Torque(Nm)
Thu Nov 23 00:12:24 EST 2017,12:23.2,-76.04388819,36.77302784,0,3,-41.90000153,0,8.46589756,0.57460839,3.98395157,-0.02543586,-,14.11764717,-0.04410936,0.86298645,0.05857374,0.30611128,14.11764717,14.11764717,-,-,44.59999847,32.36507416,14.64881134,-,653,-,-137.4671936,36.77302933,-76.04389191,4.31372547,0,0,-
Thu Nov 23 00:12:25 EST 2017,12:24.2,-76.04388819,36.77302783,0,3,-41.90000153,0,8.84896946,-0.03830723,4.02225876,0.00985652,-,13.72549057,-0.00880494,0.90203559,-0.00390492,0.31001619,14.11764717,14.11764717,-,-,46.40000153,32.36507416,14.64881134,-,663,-,-137.4671936,36.77302933,-76.04389191,3.52941179,0,0,-
Thu Nov 23 00:12:26 EST 2017,12:25.2,-76.0438882,36.77302783,0,3,-41.90000153,0,8.73404789,0.07661445,4.25210238,0.00925618,-,13.72549057,-0.00940549,0.89032084,0.00780983,0.3334457,14.11764717,14.11764717,-,-,46.40000153,32.36507416,14.64881134,-,667,-,-137.4671936,36.77302933,-76.04389191,3.92156863,0,0,-
Thu Nov 23 00:12:27 EST 2017,12:26.2,-76.0438882,36.77302784,0,3,-41.90000153,0,8.77235508,0.45968673,3.715801,0.00529748,-,13.72549057,-0.00237555,0.89813066,0.05857374,0.32954079,14.11764717,14.11764717,-,-,46.40000153,32.36507416,14.64881134,-,663,-,-137.4671936,36.77302933,-76.04389191,3.92156863,0,0,-
Thu Nov 23 00:12:28 EST 2017,12:27.2,-76.04388821,36.77302783,0,3,-41.90000153,0,6.32069254,4.75009632,2.9113493,0.02739652,-,13.72549057,0.01322583,0.73412424,0.64040625,0.17724904,14.11764717,14.11764717,-,-,46.40000153,32.36507416,14.64881134,-,660,-,-137.4671936,36.77302933,-76.04389191,3.92156863,0,0,-
Thu Nov 23 00:12:29 EST 2017,12:28.2,-76.04388817,36.77302781,0,3,-41.90000153,0,-9.04050541,4.97993946,1.95366859,0.08001999,-,13.72549057,0.0861482,-0.83174706,0.66774058,0.10305563,14.11764717,14.11764717,-,-,46.40000153,32.36507416,14.64881134,-,660,-,-137.4671936,36.77302933,-76.04389191,3.92156863,0,0,-
Thu Nov 23 00:12:30 EST 2017,12:29.2,-76.04388817,36.77302781,0,4,-41.90000153,0,-7.39329481,-6.12915611,3.02627087,0.04540628,-,13.72549057,0.02216942,-0.76926845,-0.60916686,0.18505886,14.11764717,14.11764717,-,-,46.40000153,32.36507416,14.64881134,-,660,-,-137.4671936,36.77302933,-76.04389191,10.1960783,0,0,-
Thu Nov 23 00:12:31 EST 2017,12:30.2,-76.04390872,36.77305045,2.75,3,-42.59999847,320.3,-6.66545773,-7.01022243,2.10689759,0.03393652,-,19.2156868,0.02016713,-0.66774058,-0.71459961,0.1889638,33.72549057,35.29411697,-,-,46.40000153,32.30236053,14.64881134,-,1637,-,-139.7637787,36.77305222,-76.04390717,10.1960783,6.15157461,6.21371174,-
Thu Nov 23 00:12:32 EST 2017,12:31.2,-76.04392212,36.7730784,3.5,3,-42.5,336.7,-8.35097599,-5.20978308,1.99197578,0.04709962,-,22.74509811,0.04344407,-0.83955687,-0.59354722,0.07572122,38.82352829,38.82352829,-,-,46.40000153,32.24440765,14.64881134,-,1688,-,-139.4356995,36.77307892,-76.04392242,14.11764717,7.82927656,8.07782555,-
Thu Nov 23 00:12:33 EST 2017,12:32.2,-76.04392952,36.77312082,4.75,3,-40.59999847,353.7,-10.15141487,-1.68551803,2.7581203,0.04622271,-,22.74509811,0.0809378,-1.0035634,-0.27334413,0.19286871,36.47058868,36.47058868,-,-,46.40000153,32.13820648,14.64881134,-,1675,-,-133.2020874,36.77312088,-76.04393005,13.72549057,10.62544727,10.56331062,46.1869278
Thu Nov 23 00:12:34 EST 2017,12:33.2,-76.04389317,36.77317732,6,3,-43,12.6,3.25611424,8.46589756,2.22181916,-0.02904904,-,23.92156982,-0.06155647,0.26553428,0.8747012,0.11086546,36.47058868,36.47058868,-,-,46.40000153,32.04626083,14.64881134,-,1811,-,-141.0761108,36.7731781,-76.04389191,14.90196133,13.42161655,13.67016602,48.43353653
Thu Nov 23 00:12:35 EST 2017,12:34.2,-76.04386796,36.77323337,7,3,-42.40000153,23,8.61912632,-0.84275901,3.63918662,-0.00893888,-,24.31372643,-0.00558511,0.94108468,0.00390492,0.22020312,37.25490189,37.64706039,-,-,46.40000153,31.97130775,14.64881134,-,1867,-,-139.1076202,36.77323151,-76.04386902,16.07843208,15.65855312,16.77702141,82.90016174
Thu Nov 23 00:12:36 EST 2017,12:35.2,-76.04383704,36.77329536,7.75,3,-41.59999847,24.2,9.11711979,-2.14520478,3.10288548,0.02012957,-,22.74509811,-0.00353101,0.90203559,-0.24600971,0.24363261,37.25490189,37.25490189,-,-,46.40000153,31.90726471,14.64881134,-,1490,-,-136.4829407,36.77329636,-76.0438385,14.11764717,17.33625603,19.26250648,90.1633606
Thu Nov 23 00:12:37 EST 2017,12:36.2,-76.04379888,36.77336713,8.75,3,-40.29999924,24.1,8.46589756,-1.45567465,4.02225876,0.01005732,-,20.7843132,0.00660811,0.90984541,-0.17962612,0.29049161,32.15686417,31.76470566,-,-,46.40000153,31.85253143,14.64881134,-,1593,-,-132.2178497,36.77336884,-76.04380035,12.15686321,19.5731926,20.50524902,47.12429428
