GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), 1/4 mile time(s),Absolute Throttle Position B(%),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Accelerator PedalPosition F(%),Actual engine % torque(%),Ambient air temp(°F),Average trip speed(whilst moving only)(mph),Barometric pressure (from vehicle)(psi),Drivers demand engine % torque(%),Engine RPM(rpm),Fuel pressure(psi),GPS Altitude(ft),GPS Latitude(°),GPS Longitude(°),Relative Throttle Position(%),Speed (GPS)(mph),Speed (OBD)(mph),Torque(Nm)
Sun Nov 26 19:31:44 EST 2017,31:43.7,-76.04387381,36.77303597,0,9,-38.09999847,0,8.88727665,0.72783732,4.55855989,0.00063275,-,14.50980377,-0.007997,0.86689138,0.07028849,0.37639979,14.11764717,14.11764717,-,-,41,20.98781776,14.64881134,-,652,-,-124.9999924,36.77303696,-76.04387665,4.70588255,0,0,-
Sun Nov 26 19:31:45 EST 2017,31:44.7,-76.04387382,36.77303617,0,9,-38.09999847,0,2.29843354,9.34696388,2.52827692,0.03346688,-,17.64705849,0.02007738,0.31239328,0.92546505,0.19286871,14.11764717,14.11764717,-,-,41,20.98781776,14.64881134,-,667,-,-124.9999924,36.77303696,-76.04387665,7.84313726,0,0,-
Sun Nov 26 19:31:46 EST 2017,31:45.7,-76.04387627,36.77303729,0.25,9,-38.59999847,300.8,-5.36301184,7.54652357,2.41335535,-0.00804598,-,17.64705849,-0.01721512,-0.48030469,0.81612742,0.16162936,30.19607925,27.45098114,-,-,41,20.94927216,14.64881134,-,1154,-,-126.6404114,36.77303696,-76.04387665,8.23529434,0.55923408,2.48548484,11.06476688
Sun Nov 26 19:31:47 EST 2017,31:46.7,-76.04388386,36.77304281,0.75,9,-38.79999924,313.2,-8.6957407,-4.48194551,1.83874691,0.02896804,-,20.7843132,-0.00038912,-0.96060938,-0.23429495,0.0444819,34.90196228,35.29411697,-,-,41,20.91475868,14.64881134,-,1286,-,-127.2965851,36.77304459,-76.04388428,11.76470566,1.67770207,4.34959841,11.06476688
Sun Nov 26 19:31:48 EST 2017,31:47.7,-76.04389549,36.77305319,1.25,9,-38.5,317.2,-6.97191525,-6.74207211,1.80043972,0.04881148,-,22.74509811,-0.0013284,-0.69117016,-0.69117016,0.10305563,38.4313736,38.4313736,-,-,42.79999924,20.88426018,14.64881134,-,1565,-,-126.3123398,36.77305222,-76.04389191,13.72549057,2.79617047,6.21371174,28.37332344
Sun Nov 26 19:31:49 EST 2017,31:48.7,-76.04391913,36.77308705,3.5,9,-38.40000153,328.7,-7.01022243,-6.66545773,1.99197578,0.05837877,-,22.35294151,0.02108658,-0.73412424,-0.65602589,0.16943921,37.25490189,37.25490189,-,-,42.79999924,20.83519173,14.64881134,-,1661,-,-125.9842606,36.77308655,-76.04392242,13.72549057,7.82927656,9.94193935,27.16409683
Sun Nov 26 19:31:50 EST 2017,31:49.7,-76.04393333,36.77313711,5,9,-37.90000153,344.1,-9.53849983,4.55855989,2.22181916,0.09968014,-,22.74509811,0.0227962,-0.92546505,0.37096703,0.12648514,37.25490189,37.25490189,-,-,42.79999924,20.8165741,14.64881134,-,1736,-,-124.3438339,36.77313614,-76.04393005,14.90196133,11.18468189,11.80605221,52.98376465
Sun Nov 26 19:31:51 EST 2017,31:50.7,-76.04389702,36.77321798,6.5,10,-37.29999924,17.3,5.89931297,5.86100578,3.86903,-0.01949302,-,23.52941132,0.00198928,0.65212095,0.63259637,0.32173091,36.86274719,36.86274719,-,-,42.79999924,20.80442619,14.64881134,-,1855,-,-122.3753281,36.77321625,-76.04389954,15.29411793,14.54008579,14.91290855,75.40938568
Sun Nov 26 19:31:52 EST 2017,31:51.7,-76.04386714,36.77328177,7.25,10,-36,22.3,8.61912632,-0.57460839,4.06056595,-0.00604785,-,22.74509811,-0.02262534,0.89813066,0.03904916,0.28268176,35.29411697,33.33333206,-,-,42.79999924,20.79488182,14.64881134,-,1699,-,-118.1102371,36.7732811,-76.04386902,14.50980377,16.21778679,16.15565109,75.40938568
Sun Nov 26 19:31:53 EST 2017,31:52.7,-76.04383579,36.77335618,8,10,-35.40000153,24.7,8.42759037,-1.14921677,4.06056595,-0.00265727,-,20.3921566,-0.02482129,0.87860614,-0.12886222,0.30220634,32.54901886,32.15686417,-,-,42.79999924,20.78919601,14.64881134,-,1473,-,-116.1417389,36.77335739,-76.0438385,11.76470566,17.89549065,18.01976395,82.84416199
