GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), 1/4 mile time(s),Absolute Throttle Position B(%),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Accelerator PedalPosition F(%),Actual engine % torque(%),Ambient air temp(°F),Average trip speed(whilst moving only)(mph),Barometric pressure (from vehicle)(psi),Drivers demand engine % torque(%),Engine RPM(rpm),Fuel pressure(psi),GPS Altitude(ft),GPS Latitude(°),GPS Longitude(°),Relative Throttle Position(%),Speed (GPS)(mph),Speed (OBD)(mph),Torque(Nm)
Sun Nov 26 19:24:33 EST 2017,24:33.1,-76.04384766,36.77302097,0,3,-50.29999924,0,7.46990919,2.71981311,4.13718033,-0.00669224,-,-,0.10540657,0.9371798,0.42173091,0.30611128,-,-,-,-,51.79999924,-,14.64881134,-,671,-,-165.0262451,36.7730217,-76.04384613,-,0,0,-
Sun Nov 26 19:24:34 EST 2017,24:34.1,-76.0438484,36.77302065,0,4,-50.40000153,0,2.79642749,9.46188545,2.87304211,0.06652969,-,18.4313736,0.00117424,0.30848834,0.90594047,0.19286871,33.72549057,-,-,-,42.79999924,-,14.64881134,-,671,-,-165.3543396,36.7730217,-76.04384613,8.62745094,0,0,-
Sun Nov 26 19:24:35 EST 2017,24:35.1,-76.0438579,36.77303157,1,4,-50.09999847,325.1,-9.61511421,3.10288548,2.10689759,0.049096,-,18.4313736,0.05383358,-0.90984541,0.48030469,0.12648514,33.72549057,34.50980377,-,-,42.79999924,-,14.64881134,-,671,-,-164.3700714,36.77303314,-76.04386139,8.62745094,2.23693633,0,-
Sun Nov 26 19:24:36 EST 2017,24:36.1,-76.04388476,36.7730415,2.25,4,-49.79999924,307.8,-7.39329481,-7.04852962,2.03028297,0.03541748,-,18.4313736,-0.01072339,-0.74974388,-0.60526198,0.12258022,33.72549057,34.50980377,-,-,42.79999924,-,14.64881134,-,671,-,-163.3858185,36.77304077,-76.04388428,8.62745094,5.03310633,0,-
Sun Nov 26 19:24:37 EST 2017,24:37.1,-76.04390543,36.77305924,3.25,4,-49.40000153,321.1,-7.01022243,-6.81868649,1.76213241,0.05135772,-,24.31372643,0.05643663,-0.78488815,-0.68336034,0.07962614,33.72549057,34.50980377,-,-,42.79999924,8.07782555,14.64881134,-,1615,-,-162.0735016,36.77305984,-76.04390717,16.07843208,7.2700429,8.07782555,-
Sun Nov 26 19:24:38 EST 2017,24:38.1,-76.04391966,36.77309379,4.5,4,-49.70000076,341.5,-9.84495735,-0.80445176,1.60890353,0.05741438,-,24.31372643,0.0745596,-1.04261255,-0.23429495,0.00933765,39.2156868,39.60784531,-,-,42.79999924,8.07782555,14.64881134,-,1615,-,-163.0577393,36.77309418,-76.04392242,16.07843208,10.06621265,8.07782555,-
Sun Nov 26 19:24:39 EST 2017,24:39.1,-76.0439272,36.77312792,4.75,4,-50.29999924,343.8,6.24407816,5.97592735,3.715801,-0.02199525,-,24.31372643,0.00338934,0.55059314,0.7575537,0.25925228,39.2156868,39.60784531,-,-,42.79999924,8.07782555,14.64881134,-,1615,-,-165.0262451,36.77312851,-76.04393005,16.07843208,10.62544727,8.07782555,-
Sun Nov 26 19:24:40 EST 2017,24:40.1,-76.04390079,36.77318778,5.75,4,-49.5,10.9,8.50420475,0.5363012,3.98395157,-0.00414918,-,23.92156982,-0.02179825,0.90203559,0.07028849,0.27096704,39.2156868,39.60784531,-,-,44.59999847,13.04879475,14.64881134,-,2000,-,-162.4015808,36.77318954,-76.04389954,15.29411793,12.86238289,18.01976395,-
Sun Nov 26 19:24:41 EST 2017,24:41.1,-76.04384739,36.77326691,8.5,4,-48.40000153,25.4,8.58081913,-0.91937345,4.32871675,0.01180366,-,23.92156982,0.00291021,0.89422578,-0.13276714,0.3334457,37.25490189,37.25490189,-,-,44.59999847,13.04879475,14.64881134,-,2000,-,-158.7926636,36.77326584,-76.04384613,15.29411793,19.01395798,18.01976395,-
Sun Nov 26 19:24:42 EST 2017,24:42.1,-76.04380689,36.77334932,9.25,3,-48.09999847,24.6,7.81467438,-0.38307226,4.21379519,0.02070093,-,23.92156982,-0.01828702,0.80441266,-0.1952458,0.42716369,37.25490189,37.25490189,-,-,44.59999847,13.04879475,14.64881134,-,2000,-,-157.8083954,36.77334976,-76.04380798,15.29411793,20.69165993,18.01976395,-
Sun Nov 26 19:24:43 EST 2017,24:43.1,-76.04377012,36.77343631,9.5,4,-46.59999847,23.6,8.1211319,-0.80445176,4.5202527,-0.01373834,-,18.4313736,-0.05613327,0.82003236,-0.0741934,0.36078009,37.25490189,37.25490189,-,-,44.59999847,15.94852734,14.64881134,-,1671,-,-152.8871307,36.7734375,-76.04376984,9.01960754,21.25089455,21.74799156,-
Sun Nov 26 19:24:44 EST 2017,24:44.1,-76.04372497,36.77351857,9.75,5,-46.20000076,23.9,8.15943909,-1.34075296,4.44363832,-0.00166011,-,18.4313736,-0.00858175,0.8747012,-0.10933765,0.35297027,20,14.11764717,-,-,44.59999847,17.39839363,14.64881134,-,1650,-,-151.5747986,36.77351761,-76.04372406,11.76470566,21.81012726,21.74799156,-
Sun Nov 26 19:24:45 EST 2017,24:45.1,-76.04369244,36.77359976,9.75,5,-46,22,8.96389103,-2.22181916,3.75410819,0.01027204,-,21.56862831,-0.07319744,0.82003236,-0.08981306,0.32173091,34.90196228,34.90196228,-,-,44.59999847,18.39258766,14.64881134,-,1695,-,-150.9186401,36.77360153,-76.04369354,11.76470566,21.81012726,22.36936378,-
Sun Nov 26 19:24:46 EST 2017,24:46.1,-76.04365942,36.77369384,10,5,-46.20000076,19.3,8.46589756,-3.56257224,4.75009632,0.02748267,-,21.56862831,0.00297111,0.85517663,-0.30458343,0.32563588,31.76470566,31.76470566,-,-,44.59999847,19.26250648,14.64881134,-,1833,-,-151.5747986,36.77369308,-76.04366302,12.94117641,22.36936378,23.61210442,32.44046402
