Date,X,Y,Z,EpochDate
Wed Nov 22 23:59:45 EST 2017,8.695741,0.30645782,5.401319,1511413185560
Wed Nov 22 23:59:45 EST 2017,9.308656,-0.6512229,4.4436383,1511413185569
Wed Nov 22 23:59:45 EST 2017,8.274361,0.076614454,3.2561142,1511413185579
Wed Nov 22 23:59:45 EST 2017,8.925584,-0.8810662,2.6431987,1511413185599
Wed Nov 22 23:59:45 EST 2017,8.389283,0.038307227,3.4859576,1511413185620
Wed Nov 22 23:59:45 EST 2017,9.232041,-0.5746084,4.4436383,1511413185630
Wed Nov 22 23:59:45 EST 2017,8.734048,0.15322891,4.7500963,1511413185650
Wed Nov 22 23:59:45 EST 2017,9.078813,-0.61291564,4.2521024,1511413185661
Wed Nov 22 23:59:45 EST 2017,8.580819,0.0,3.5242648,1511413185680
Wed Nov 22 23:59:45 EST 2017,8.810662,-0.61291564,3.2561142,1511413185690
Wed Nov 22 23:59:45 EST 2017,8.772355,-0.19153613,3.7541082,1511413185711
Wed Nov 22 23:59:45 EST 2017,8.925584,-0.38307226,4.2904096,1511413185720
Wed Nov 22 23:59:45 EST 2017,8.925584,-0.076614454,4.3287168,1511413185739
Wed Nov 22 23:59:45 EST 2017,8.695741,-0.45968673,4.060566,1511413185760
Wed Nov 22 23:59:45 EST 2017,8.887277,-0.30645782,3.5242648,1511413185770
Wed Nov 22 23:59:45 EST 2017,8.542512,-0.30645782,3.6008794,1511413185789
Wed Nov 22 23:59:45 EST 2017,9.040505,-0.19153613,3.86903,1511413185800
Wed Nov 22 23:59:45 EST 2017,8.580819,-0.11492168,4.2904096,1511413185820
Wed Nov 22 23:59:45 EST 2017,9.232041,-0.5746084,4.060566,1511413185829
Wed Nov 22 23:59:45 EST 2017,8.465898,0.038307227,3.8307228,1511413185850
Wed Nov 22 23:59:45 EST 2017,9.078813,-0.7278373,3.6391866,1511413185859
Wed Nov 22 23:59:45 EST 2017,8.542512,0.15322891,3.86903,1511413185880
Wed Nov 22 23:59:45 EST 2017,9.193734,-0.61291564,3.9839516,1511413185900
Wed Nov 22 23:59:45 EST 2017,8.542512,-0.038307227,4.175488,1511413185912
Wed Nov 22 23:59:45 EST 2017,9.078813,-0.61291564,3.86903,1511413185929
