Date,X,Y,Z,EpochDate
Sun Nov 26 19:24:23 EST 2017,8.389283,1.1109096,4.903325,1511742263572
Sun Nov 26 19:24:23 EST 2017,8.350976,0.7278373,4.7500963,1511742263582
Sun Nov 26 19:24:23 EST 2017,8.42759,0.9576807,4.405331,1511742263602
Sun Nov 26 19:24:23 EST 2017,8.197746,0.842759,4.55856,1511742263622
Sun Nov 26 19:24:23 EST 2017,8.6574335,0.91937345,4.711789,1511742263632
Sun Nov 26 19:24:23 EST 2017,8.121132,0.91937345,4.711789,1511742263652
Sun Nov 26 19:24:23 EST 2017,8.734048,0.7661445,4.367024,1511742263662
Sun Nov 26 19:24:23 EST 2017,8.159439,1.0726024,4.405331,1511742263682
Sun Nov 26 19:24:23 EST 2017,8.580819,0.61291564,4.596867,1511742263691
Sun Nov 26 19:24:23 EST 2017,8.350976,1.3790601,4.673482,1511742263712
Sun Nov 26 19:24:23 EST 2017,8.350976,0.34476504,4.4819455,1511742263722
Sun Nov 26 19:24:23 EST 2017,8.619126,1.4556746,4.367024,1511742263742
Sun Nov 26 19:24:23 EST 2017,8.00621,0.45968673,4.596867,1511742263762
Sun Nov 26 19:24:23 EST 2017,9.002198,1.1492168,4.55856,1511742263772
Sun Nov 26 19:24:23 EST 2017,7.6614456,0.80445176,4.596867,1511742263792
Sun Nov 26 19:24:23 EST 2017,9.11712,0.8810662,4.4436383,1511742263802
Sun Nov 26 19:24:23 EST 2017,7.5465236,1.0342951,4.673482,1511742263822
Sun Nov 26 19:24:23 EST 2017,9.040505,0.6895301,4.596867,1511742263832
Sun Nov 26 19:24:23 EST 2017,7.8146744,1.2258313,4.673482,1511742263852
Sun Nov 26 19:24:23 EST 2017,8.695741,0.49799395,4.55856,1511742263862
Sun Nov 26 19:24:23 EST 2017,8.274361,1.4173675,4.6351743,1511742263892
Sun Nov 26 19:24:23 EST 2017,8.159439,0.38307226,4.711789,1511742263902
Sun Nov 26 19:24:23 EST 2017,8.772355,1.4173675,4.6351743,1511742263912
Sun Nov 26 19:24:23 EST 2017,7.8912888,0.45968673,4.6351743,1511742263933
Sun Nov 26 19:24:23 EST 2017,8.963891,1.1109096,4.5202527,1511742263942
Sun Nov 26 19:24:23 EST 2017,7.8146744,0.8810662,4.673482,1511742263962
Sun Nov 26 19:24:23 EST 2017,8.963891,0.7278373,4.596867,1511742263971
Sun Nov 26 19:24:23 EST 2017,7.929596,1.1875241,4.596867,1511742263994
Sun Nov 26 19:24:24 EST 2017,8.734048,0.5363012,4.4819455,1511742264012
Sun Nov 26 19:24:24 EST 2017,8.159439,1.3024458,4.596867,1511742264022
Sun Nov 26 19:24:24 EST 2017,8.504205,0.5363012,4.55856,1511742264043
Sun Nov 26 19:24:24 EST 2017,8.389283,1.2641385,4.4819455,1511742264054
