Date,X,Y,Z,EpochDate
Sun Nov 26 15:17:39 EST 2017,8.504205,0.8810662,4.2521024,1511727459701
Sun Nov 26 15:17:39 EST 2017,8.274361,0.8810662,4.3287168,1511727459711
Sun Nov 26 15:17:39 EST 2017,8.542512,0.91937345,4.711789,1511727459731
Sun Nov 26 15:17:39 EST 2017,8.312668,0.8810662,4.865018,1511727459742
Sun Nov 26 15:17:39 EST 2017,8.542512,0.80445176,4.55856,1511727459762
Sun Nov 26 15:17:39 EST 2017,8.274361,0.9959879,4.3287168,1511727459772
Sun Nov 26 15:17:39 EST 2017,8.504205,0.7661445,4.4819455,1511727459791
Sun Nov 26 15:17:39 EST 2017,8.274361,1.1109096,4.7500963,1511727459801
Sun Nov 26 15:17:39 EST 2017,8.504205,0.6512229,4.711789,1511727459821
Sun Nov 26 15:17:39 EST 2017,8.389283,1.1109096,4.4436383,1511727459831
Sun Nov 26 15:17:39 EST 2017,8.42759,0.61291564,4.405331,1511727459852
Sun Nov 26 15:17:39 EST 2017,8.465898,1.1875241,4.55856,1511727459871
Sun Nov 26 15:17:39 EST 2017,8.274361,0.61291564,4.7884035,1511727459881
Sun Nov 26 15:17:39 EST 2017,8.619126,1.1492168,4.596867,1511727459901
Sun Nov 26 15:17:39 EST 2017,8.159439,0.7278373,4.4819455,1511727459911
Sun Nov 26 15:17:39 EST 2017,8.695741,0.91937345,4.405331,1511727459931
Sun Nov 26 15:17:39 EST 2017,8.121132,0.91937345,4.673482,1511727459942
Sun Nov 26 15:17:39 EST 2017,8.695741,0.842759,4.673482,1511727459961
Sun Nov 26 15:17:39 EST 2017,8.082825,0.8810662,4.596867,1511727459972
Sun Nov 26 15:17:39 EST 2017,8.734048,0.8810662,4.405331,1511727459991
Sun Nov 26 15:17:40 EST 2017,8.0445175,0.91937345,4.596867,1511727460001
Sun Nov 26 15:17:40 EST 2017,8.734048,0.80445176,4.596867,1511727460031
Sun Nov 26 15:17:40 EST 2017,8.159439,1.0726024,4.6351743,1511727460041
Sun Nov 26 15:17:40 EST 2017,8.619126,0.6512229,4.4819455,1511727460051
Sun Nov 26 15:17:40 EST 2017,8.274361,1.1109096,4.55856,1511727460072
Sun Nov 26 15:17:40 EST 2017,8.465898,0.6895301,4.6351743,1511727460081
Sun Nov 26 15:17:40 EST 2017,8.42759,0.9959879,4.596867,1511727460101
Sun Nov 26 15:17:40 EST 2017,8.350976,0.7661445,4.5202527,1511727460111
Sun Nov 26 15:17:40 EST 2017,8.465898,1.0342951,4.5202527,1511727460131
Sun Nov 26 15:17:40 EST 2017,8.312668,0.7661445,4.6351743,1511727460143
Sun Nov 26 15:17:40 EST 2017,8.504205,1.1492168,4.596867,1511727460161
Sun Nov 26 15:17:40 EST 2017,8.312668,0.61291564,4.596867,1511727460181
Sun Nov 26 15:17:40 EST 2017,8.542512,1.1109096,4.4819455,1511727460192
Sun Nov 26 15:17:40 EST 2017,8.274361,0.6512229,4.55856,1511727460211
Sun Nov 26 15:17:40 EST 2017,8.542512,1.1109096,4.6351743,1511727460221
Sun Nov 26 15:17:40 EST 2017,8.274361,0.7278373,4.6351743,1511727460243
Sun Nov 26 15:17:40 EST 2017,8.542512,0.9959879,4.55856,1511727460251
Sun Nov 26 15:17:40 EST 2017,8.312668,0.842759,4.5202527,1511727460271
Sun Nov 26 15:17:40 EST 2017,8.504205,0.91937345,4.55856,1511727460282
Sun Nov 26 15:17:40 EST 2017,8.350976,0.80445176,4.673482,1511727460302
