statusId | label
4|Drive
statusId|sensorName|value|timestamp
4|R3GD20 Gyroscope sensor|[-0.002443461,-0.002443461,-0.002443461]|1511413946073
4|GPS|{"mProvider":"fused","mResults":[0.0,0.0],"mAccuracy":3.0,"mAltitude":-41.900001525878906,"mElapsedRealtimeNanos":26008720063528,"mLat1":0.0,"mLat2":0.0,"mLatitude":36.7730278,"mLon1":0.0,"mLon2":0.0,"mLongitude":-76.0438882,"mTime":1511413947000,"mBearing":0.0,"mDistance":0.0,"mHasAccuracy":true,"mHasAltitude":true,"mHasBearing":false,"mHasSpeed":true,"mInitialBearing":0.0,"mIsFromMockProvider":false,"mSpeed":0.0}|1511400190723
4|BOSCH BMA250 3-axis Accelerometer|[8.810662,0.5746084,4.213795]|1511413946139
4|BOSCH BMA250 3-axis Accelerometer|[8.772355,0.45968673,3.715801]|1511413946170
4|BOSCH BMA250 3-axis Accelerometer|[8.887277,0.4213795,4.060566]|1511413946200
4|BOSCH BMA250 3-axis Accelerometer|[8.6574335,0.19153613,4.213795]|1511413946220
4|R3GD20 Gyroscope sensor|[0.0012217305,0.030543262,-0.008552114]|1511413946230
4|BOSCH BMA250 3-axis Accelerometer|[8.887277,0.38307226,3.9456444]|1511413946239
4|R3GD20 Gyroscope sensor|[0.039095376,0.030543262,-0.014660766]|1511413946240
4|BOSCH BMA250 3-axis Accelerometer|[8.580819,0.22984336,3.9073372]|1511413946249
4|R3GD20 Gyroscope sensor|[-0.004886922,0.039095376,-0.029321533]|1511413946250
4|R3GD20 Gyroscope sensor|[-0.002443461,-0.021991149,-0.012217305]|1511413946260
4|BOSCH BMA250 3-axis Accelerometer|[8.925584,0.30645782,3.86903]|1511413946270
4|R3GD20 Gyroscope sensor|[0.047647487,0.002443461,-0.007330383]|1511413946270
4|BOSCH BMA250 3-axis Accelerometer|[8.580819,0.30645782,4.098873]|1511413946280
4|R3GD20 Gyroscope sensor|[-0.008552114,0.007330383,-0.028099801]|1511413946280
4|R3GD20 Gyroscope sensor|[-0.010995574,0.010995574,-0.02076942]|1511413946290
4|BOSCH BMA250 3-axis Accelerometer|[8.925584,0.2681506,4.0222588]|1511413946300
4|R3GD20 Gyroscope sensor|[0.037873644,0.02321288,-0.008552114]|1511413946300
4|BOSCH BMA250 3-axis Accelerometer|[8.542512,0.4213795,4.060566]|1511413946309
4|R3GD20 Gyroscope sensor|[-0.013439035,0.04642576,-0.042760566]|1511413946310
4|R3GD20 Gyroscope sensor|[-0.02687807,0.047647487,-0.018325957]|1511413946320
4|BOSCH BMA250 3-axis Accelerometer|[8.963891,0.15322891,3.9073372]|1511413946330
4|R3GD20 Gyroscope sensor|[0.043982297,0.012217305,-0.012217305]|1511413946330
4|BOSCH BMA250 3-axis Accelerometer|[8.619126,0.38307226,3.9073372]|1511413946339
4|R3GD20 Gyroscope sensor|[-0.012217305,0.010995574,-0.030543262]|1511413946340
4|R3GD20 Gyroscope sensor|[-0.007330383,0.02076942,-0.032986723]|1511413946350
4|BOSCH BMA250 3-axis Accelerometer|[8.887277,0.11492168,3.9839516]|1511413946359
4|R3GD20 Gyroscope sensor|[0.04886922,-0.004886922,-0.002443461]|1511413946360
4|R3GD20 Gyroscope sensor|[-0.002443461,0.0,-0.028099801]|1511413946370
4|BOSCH BMA250 3-axis Accelerometer|[8.619126,0.49799395,4.098873]|1511413946380
4|R3GD20 Gyroscope sensor|[-0.007330383,0.014660766,-0.037873644]|1511413946380
4|BOSCH BMA250 3-axis Accelerometer|[9.002198,0.038307227,4.0222588]|1511413946389
4|R3GD20 Gyroscope sensor|[0.047647487,0.028099801,-0.0012217305]|1511413946390
4|R3GD20 Gyroscope sensor|[-0.0036651916,0.034208454,-0.04642576]|1511413946400
4|BOSCH BMA250 3-axis Accelerometer|[8.619126,0.61291564,3.9456444]|1511413946410
4|R3GD20 Gyroscope sensor|[-0.02076942,0.02321288,-0.013439035]|1511413946410
4|BOSCH BMA250 3-axis Accelerometer|[8.887277,-0.076614454,3.9073372]|1511413946419
4|R3GD20 Gyroscope sensor|[0.04520403,0.034208454,-0.0061086523]|1511413946420
4|R3GD20 Gyroscope sensor|[-0.02321288,-0.004886922,-0.032986723]|1511413946430
4|BOSCH BMA250 3-axis Accelerometer|[8.619126,0.5746084,3.9839516]|1511413946440
4|R3GD20 Gyroscope sensor|[0.010995574,0.0061086523,-0.009773844]|1511413946440
4|BOSCH BMA250 3-axis Accelerometer|[8.772355,0.0,4.098873]|1511413946449
4|R3GD20 Gyroscope sensor|[0.04520403,0.017104227,-0.02321288]|1511413946450
4|R3GD20 Gyroscope sensor|[-0.018325957,0.029321533,-0.018325957]|1511413946460
4|BOSCH BMA250 3-axis Accelerometer|[8.6574335,0.61291564,4.0222588]|1511413946470
4|R3GD20 Gyroscope sensor|[0.010995574,0.007330383,-0.009773844]|1511413946471
4|BOSCH BMA250 3-axis Accelerometer|[8.772355,-0.076614454,4.0222588]|1511413946480
4|R3GD20 Gyroscope sensor|[0.039095376,0.04153884,-0.014660766]|1511413946480
4|R3GD20 Gyroscope sensor|[-0.008552114,0.030543262,-0.04642576]|1511413946491
4|R3GD20 Gyroscope sensor|[0.019547688,-0.0012217305,-0.039095376]|1511413946503
4|BOSCH BMA250 3-axis Accelerometer|[8.695741,0.4213795,3.9839516]|1511413946505
