statusId | label
8|Drive
statusId|sensorName|value|timestamp
8|R3GD20 Gyroscope sensor|[0.017104227,0.017104227,0.017104227]|1511727953323
8|GPS|{"mProvider":"fused","mResults":[0.0,0.0],"mAccuracy":3.0,"mAltitude":-41.900001525878906,"mElapsedRealtimeNanos":340006907956260,"mLat1":0.0,"mLat2":0.0,"mLatitude":36.7730124,"mLon1":0.0,"mLon2":0.0,"mLongitude":-76.0438735,"mTime":1511727952000,"mBearing":0.0,"mDistance":0.0,"mHasAccuracy":true,"mHasAltitude":true,"mHasBearing":false,"mHasSpeed":true,"mInitialBearing":0.0,"mIsFromMockProvider":false,"mSpeed":0.0}|1511662468018
8|BOSCH BMA250 3-axis Accelerometer|[8.236053,3.064578,4.596867]|1511727953391
8|BOSCH BMA250 3-axis Accelerometer|[7.469909,2.834735,4.9416323]|1511727953401
8|BOSCH BMA250 3-axis Accelerometer|[8.274361,3.064578,4.7500963]|1511727953422
8|BOSCH BMA250 3-axis Accelerometer|[7.3549876,2.9496565,4.6351743]|1511727953431
8|BOSCH BMA250 3-axis Accelerometer|[8.350976,2.9879637,4.5202527]|1511727953451
8|GPS|{"mProvider":"fused","mResults":[0.0,0.0],"mAccuracy":3.0,"mAltitude":-41.900001525878906,"mElapsedRealtimeNanos":340007875848828,"mLat1":0.0,"mLat2":0.0,"mLatitude":36.7730124,"mLon1":0.0,"mLon2":0.0,"mLongitude":-76.0438735,"mTime":1511727953000,"mBearing":0.0,"mDistance":0.0,"mHasAccuracy":true,"mHasAltitude":true,"mHasBearing":false,"mHasSpeed":true,"mInitialBearing":0.0,"mIsFromMockProvider":false,"mSpeed":0.0}|1511662468019
8|BOSCH BMA250 3-axis Accelerometer|[7.393295,2.9496565,4.711789]|1511727953471
8|BOSCH BMA250 3-axis Accelerometer|[8.350976,2.9496565,4.711789]|1511727953481
8|R3GD20 Gyroscope sensor|[0.02321288,0.043982297,-0.002443461]|1511727953482
8|R3GD20 Gyroscope sensor|[0.0061086523,0.043982297,-0.010995574]|1511727953492
8|BOSCH BMA250 3-axis Accelerometer|[7.3166804,2.9879637,4.7884035]|1511727953501
8|R3GD20 Gyroscope sensor|[0.009773844,0.035430185,-0.012217305]|1511727953502
8|BOSCH BMA250 3-axis Accelerometer|[8.389283,2.9496565,4.55856]|1511727953511
8|R3GD20 Gyroscope sensor|[0.014660766,-0.007330383,0.0061086523]|1511727953512
8|R3GD20 Gyroscope sensor|[0.014660766,0.029321533,-0.0012217305]|1511727953522
8|BOSCH BMA250 3-axis Accelerometer|[7.3166804,3.064578,4.6351743]|1511727953531
8|R3GD20 Gyroscope sensor|[-0.007330383,0.0036651916,-0.017104227]|1511727953532
8|BOSCH BMA250 3-axis Accelerometer|[8.42759,2.834735,4.673482]|1511727953542
8|R3GD20 Gyroscope sensor|[0.028099801,-0.035430185,0.0036651916]|1511727953542
8|R3GD20 Gyroscope sensor|[-0.0036651916,0.037873644,-0.004886922]|1511727953551
8|BOSCH BMA250 3-axis Accelerometer|[7.2783732,3.064578,4.7884035]|1511727953562
8|R3GD20 Gyroscope sensor|[-0.013439035,0.029321533,-0.019547688]|1511727953562
8|BOSCH BMA250 3-axis Accelerometer|[8.42759,2.7964275,4.596867]|1511727953581
8|R3GD20 Gyroscope sensor|[0.02321288,0.0,-0.02321288]|1511727953582
8|BOSCH BMA250 3-axis Accelerometer|[7.2783732,3.1411927,4.6351743]|1511727953592
8|R3GD20 Gyroscope sensor|[0.02076942,0.02321288,-0.029321533]|1511727953593
8|R3GD20 Gyroscope sensor|[0.015882496,-0.008552114,-0.010995574]|1511727953601
8|BOSCH BMA250 3-axis Accelerometer|[8.389283,2.7581203,4.6351743]|1511727953611
8|R3GD20 Gyroscope sensor|[0.013439035,0.008552114,-0.002443461]|1511727953611
8|BOSCH BMA250 3-axis Accelerometer|[7.2783732,3.217807,4.7884035]|1511727953621
8|R3GD20 Gyroscope sensor|[0.007330383,0.019547688,-0.015882496]|1511727953621
8|R3GD20 Gyroscope sensor|[0.009773844,-0.018325957,-0.013439035]|1511727953632
8|BOSCH BMA250 3-axis Accelerometer|[8.389283,2.719813,4.711789]|1511727953642
8|R3GD20 Gyroscope sensor|[0.028099801,0.056199603,-0.012217305]|1511727953642
8|BOSCH BMA250 3-axis Accelerometer|[7.3166804,3.1794999,4.6351743]|1511727953651
8|R3GD20 Gyroscope sensor|[0.007330383,0.03176499,-0.014660766]|1511727953652
8|R3GD20 Gyroscope sensor|[0.015882496,-0.029321533,-0.002443461]|1511727953662
8|BOSCH BMA250 3-axis Accelerometer|[8.389283,2.719813,4.596867]|1511727953671
8|R3GD20 Gyroscope sensor|[0.009773844,0.015882496,0.008552114]|1511727953671
8|BOSCH BMA250 3-axis Accelerometer|[7.3166804,3.1794999,4.7500963]|1511727953681
8|R3GD20 Gyroscope sensor|[0.015882496,0.012217305,-0.019547688]|1511727953681
8|R3GD20 Gyroscope sensor|[0.02321288,-0.034208454,0.0]|1511727953692
8|BOSCH BMA250 3-axis Accelerometer|[8.350976,2.7964275,4.7500963]|1511727953701
8|R3GD20 Gyroscope sensor|[0.02687807,0.030543262,-0.0061086523]|1511727953702
8|BOSCH BMA250 3-axis Accelerometer|[7.2783732,3.1411927,4.711789]|1511727953711
8|R3GD20 Gyroscope sensor|[0.017104227,0.021991149,-0.017104227]|1511727953711
8|BOSCH BMA250 3-axis Accelerometer|[8.350976,2.7964275,4.596867]|1511727953732
8|R3GD20 Gyroscope sensor|[0.02443461,-0.029321533,0.0012217305]|1511727953732
8|BOSCH BMA250 3-axis Accelerometer|[7.3549876,3.1028855,4.6351743]|1511727953742
8|R3GD20 Gyroscope sensor|[0.002443461,0.02321288,-0.034208454]|1511727953742
8|R3GD20 Gyroscope sensor|[0.02443461,-0.058643065,-0.0061086523]|1511727953752
8|BOSCH BMA250 3-axis Accelerometer|[8.350976,2.7581203,4.6351743]|1511727953761
8|R3GD20 Gyroscope sensor|[0.02565634,0.012217305,-0.002443461]|1511727953762
8|R3GD20 Gyroscope sensor|[0.015882496,0.02321288,-0.009773844]|1511727953772
8|BOSCH BMA250 3-axis Accelerometer|[7.3166804,3.1794999,4.7500963]|1511727953782
8|R3GD20 Gyroscope sensor|[0.018325957,-0.04642576,-0.008552114]|1511727953782
8|BOSCH BMA250 3-axis Accelerometer|[8.350976,2.7964275,4.673482]|1511727953791
8|R3GD20 Gyroscope sensor|[0.021991149,0.02687807,-0.019547688]|1511727953791
8|R3GD20 Gyroscope sensor|[0.018325957,0.03176499,-0.018325957]|1511727953802
8|BOSCH BMA250 3-axis Accelerometer|[7.3166804,3.1411927,4.673482]|1511727953811
8|R3GD20 Gyroscope sensor|[-0.0036651916,-0.021991149,-0.008552114]|1511727953812
8|BOSCH BMA250 3-axis Accelerometer|[8.42759,2.834735,4.596867]|1511727953821
8|R3GD20 Gyroscope sensor|[0.02443461,0.021991149,-0.010995574]|1511727953822
8|R3GD20 Gyroscope sensor|[0.02443461,0.040317107,0.0061086523]|1511727953831
8|BOSCH BMA250 3-axis Accelerometer|[7.240066,3.064578,4.711789]|1511727953842
8|R3GD20 Gyroscope sensor|[-0.008552114,-0.040317107,-0.013439035]|1511727953843
8|BOSCH BMA250 3-axis Accelerometer|[8.504205,2.834735,4.673482]|1511727953851
8|R3GD20 Gyroscope sensor|[0.02565634,0.010995574,-0.012217305]|1511727953852
8|R3GD20 Gyroscope sensor|[0.030543262,0.047647487,-0.019547688]|1511727953861
8|BOSCH BMA250 3-axis Accelerometer|[7.1634517,3.1028855,4.711789]|1511727953871
8|R3GD20 Gyroscope sensor|[-0.007330383,0.007330383,-0.017104227]|1511727953872
8|BOSCH BMA250 3-axis Accelerometer|[8.542512,2.834735,4.55856]|1511727953881
8|R3GD20 Gyroscope sensor|[0.032986723,0.015882496,-0.028099801]|1511727953882
8|R3GD20 Gyroscope sensor|[0.019547688,0.058643065,-0.013439035]|1511727953891
8|BOSCH BMA250 3-axis Accelerometer|[7.1251445,3.064578,4.6351743]|1511727953912
8|R3GD20 Gyroscope sensor|[0.02076942,-0.004886922,-0.007330383]|1511727953911
8|BOSCH BMA250 3-axis Accelerometer|[8.504205,2.834735,4.673482]|1511727953921
8|R3GD20 Gyroscope sensor|[0.02076942,0.028099801,-0.012217305]|1511727953921
8|R3GD20 Gyroscope sensor|[0.0012217305,0.013439035,-0.018325957]|1511727953932
8|BOSCH BMA250 3-axis Accelerometer|[7.1251445,3.0262709,4.7500963]|1511727953932
8|R3GD20 Gyroscope sensor|[0.008552114,0.014660766,-0.014660766]|1511727953943
8|BOSCH BMA250 3-axis Accelerometer|[8.542512,2.9113493,4.596867]|1511727953951
8|R3GD20 Gyroscope sensor|[0.032986723,0.047647487,-0.007330383]|1511727953951
8|BOSCH BMA250 3-axis Accelerometer|[7.1251445,2.9496565,4.596867]|1511727953961
8|R3GD20 Gyroscope sensor|[0.014660766,0.008552114,-0.019547688]|1511727953961
8|R3GD20 Gyroscope sensor|[0.007330383,-0.047647487,-0.021991149]|1511727953972
8|BOSCH BMA250 3-axis Accelerometer|[8.580819,2.9879637,4.673482]|1511727953981
8|R3GD20 Gyroscope sensor|[0.03176499,0.019547688,-0.010995574]|1511727953981
8|BOSCH BMA250 3-axis Accelerometer|[7.0485296,3.0262709,4.865018]|1511727953992
8|R3GD20 Gyroscope sensor|[-0.0012217305,0.0061086523,-0.03176499]|1511727953991
8|R3GD20 Gyroscope sensor|[-0.0036651916,-0.018325957,-0.015882496]|1511727954002
8|BOSCH BMA250 3-axis Accelerometer|[8.580819,2.873042,4.6351743]|1511727954012
8|R3GD20 Gyroscope sensor|[0.042760566,0.064751714,0.0012217305]|1511727954013
8|BOSCH BMA250 3-axis Accelerometer|[7.086837,3.0262709,4.596867]|1511727954021
8|R3GD20 Gyroscope sensor|[-0.0012217305,0.035430185,-0.028099801]|1511727954021
8|R3GD20 Gyroscope sensor|[0.029321533,-0.032986723,-0.017104227]|1511727954032
8|BOSCH BMA250 3-axis Accelerometer|[8.542512,2.7964275,4.55856]|1511727954041
8|R3GD20 Gyroscope sensor|[0.02443461,0.021991149,-0.017104227]|1511727954041
8|R3GD20 Gyroscope sensor|[0.028099801,-0.0061086523,-0.043982297]|1511727954052
8|BOSCH BMA250 3-axis Accelerometer|[7.1634517,3.1411927,4.7884035]|1511727954061
8|R3GD20 Gyroscope sensor|[0.021991149,-0.061086524,-0.02321288]|1511727954062
8|BOSCH BMA250 3-axis Accelerometer|[8.465898,2.7964275,4.711789]|1511727954071
8|R3GD20 Gyroscope sensor|[0.03176499,0.04886922,-0.007330383]|1511727954071
8|R3GD20 Gyroscope sensor|[0.007330383,0.03176499,-0.05009095]|1511727954082
8|BOSCH BMA250 3-axis Accelerometer|[7.2783732,2.9879637,4.6351743]|1511727954091
8|R3GD20 Gyroscope sensor|[0.04642576,-0.017104227,-0.032986723]|1511727954092
