statusId | label
6|Drive
statusId|sensorName|value|timestamp
6|R3GD20 Gyroscope sensor|[0.47769663,0.47769663,0.47769663]|1511727459620
6|BOSCH BMA250 3-axis Accelerometer|[8.504205,0.8810662,4.2521024]|1511727459701
6|BOSCH BMA250 3-axis Accelerometer|[8.274361,0.8810662,4.3287168]|1511727459711
6|BOSCH BMA250 3-axis Accelerometer|[8.542512,0.91937345,4.711789]|1511727459731
6|GPS|{"mProvider":"fused","mResults":[0.0,0.0],"mAccuracy":3.0,"mAltitude":-24.299999237060547,"mElapsedRealtimeNanos":339513860436098,"mLat1":0.0,"mLat2":0.0,"mLatitude":36.7729623,"mLon1":0.0,"mLon2":0.0,"mLongitude":-76.0439238,"mTime":1511727459000,"mBearing":0.0,"mDistance":0.0,"mHasAccuracy":true,"mHasAltitude":true,"mHasBearing":false,"mHasSpeed":true,"mInitialBearing":0.0,"mIsFromMockProvider":false,"mSpeed":0.0}|1511662468018
6|BOSCH BMA250 3-axis Accelerometer|[8.312668,0.8810662,4.865018]|1511727459742
6|BOSCH BMA250 3-axis Accelerometer|[8.542512,0.80445176,4.55856]|1511727459762
6|BOSCH BMA250 3-axis Accelerometer|[8.274361,0.9959879,4.3287168]|1511727459772
6|R3GD20 Gyroscope sensor|[-0.0012217305,-0.037873644,-0.035430185]|1511727459772
6|R3GD20 Gyroscope sensor|[0.02321288,-0.037873644,-0.007330383]|1511727459781
6|BOSCH BMA250 3-axis Accelerometer|[8.504205,0.7661445,4.4819455]|1511727459791
6|R3GD20 Gyroscope sensor|[0.02321288,-0.013439035,-0.0061086523]|1511727459792
6|BOSCH BMA250 3-axis Accelerometer|[8.274361,1.1109096,4.7500963]|1511727459801
6|R3GD20 Gyroscope sensor|[-0.013439035,-0.004886922,-0.03176499]|1511727459802
6|R3GD20 Gyroscope sensor|[0.02565634,0.002443461,-0.0036651916]|1511727459811
6|BOSCH BMA250 3-axis Accelerometer|[8.504205,0.6512229,4.711789]|1511727459821
6|R3GD20 Gyroscope sensor|[0.014660766,0.061086524,-0.0036651916]|1511727459822
6|BOSCH BMA250 3-axis Accelerometer|[8.389283,1.1109096,4.4436383]|1511727459831
