Date,X,Y,Z,EpochDate
Thu Nov 23 00:12:26 EST 2017,-0.002443461,-0.002443461,-0.002443461,1511413946073
Thu Nov 23 00:12:26 EST 2017,0.0012217305,0.030543262,-0.008552114,1511413946230
Thu Nov 23 00:12:26 EST 2017,0.039095376,0.030543262,-0.014660766,1511413946240
Thu Nov 23 00:12:26 EST 2017,-0.004886922,0.039095376,-0.029321533,1511413946250
Thu Nov 23 00:12:26 EST 2017,-0.002443461,-0.021991149,-0.012217305,1511413946260
Thu Nov 23 00:12:26 EST 2017,0.047647487,0.002443461,-0.007330383,1511413946270
Thu Nov 23 00:12:26 EST 2017,-0.008552114,0.007330383,-0.028099801,1511413946280
Thu Nov 23 00:12:26 EST 2017,-0.010995574,0.010995574,-0.02076942,1511413946290
Thu Nov 23 00:12:26 EST 2017,0.037873644,0.02321288,-0.008552114,1511413946300
Thu Nov 23 00:12:26 EST 2017,-0.013439035,0.04642576,-0.042760566,1511413946310
Thu Nov 23 00:12:26 EST 2017,-0.02687807,0.047647487,-0.018325957,1511413946320
Thu Nov 23 00:12:26 EST 2017,0.043982297,0.012217305,-0.012217305,1511413946330
Thu Nov 23 00:12:26 EST 2017,-0.012217305,0.010995574,-0.030543262,1511413946340
Thu Nov 23 00:12:26 EST 2017,-0.007330383,0.02076942,-0.032986723,1511413946350
Thu Nov 23 00:12:26 EST 2017,0.04886922,-0.004886922,-0.002443461,1511413946360
Thu Nov 23 00:12:26 EST 2017,-0.002443461,0.0,-0.028099801,1511413946370
Thu Nov 23 00:12:26 EST 2017,-0.007330383,0.014660766,-0.037873644,1511413946380
Thu Nov 23 00:12:26 EST 2017,0.047647487,0.028099801,-0.0012217305,1511413946390
Thu Nov 23 00:12:26 EST 2017,-0.0036651916,0.034208454,-0.04642576,1511413946400
Thu Nov 23 00:12:26 EST 2017,-0.02076942,0.02321288,-0.013439035,1511413946410
Thu Nov 23 00:12:26 EST 2017,0.04520403,0.034208454,-0.0061086523,1511413946420
Thu Nov 23 00:12:26 EST 2017,-0.02321288,-0.004886922,-0.032986723,1511413946430
Thu Nov 23 00:12:26 EST 2017,0.010995574,0.0061086523,-0.009773844,1511413946440
Thu Nov 23 00:12:26 EST 2017,0.04520403,0.017104227,-0.02321288,1511413946450
Thu Nov 23 00:12:26 EST 2017,-0.018325957,0.029321533,-0.018325957,1511413946460
Thu Nov 23 00:12:26 EST 2017,0.010995574,0.007330383,-0.009773844,1511413946471
Thu Nov 23 00:12:26 EST 2017,0.039095376,0.04153884,-0.014660766,1511413946480
Thu Nov 23 00:12:26 EST 2017,-0.008552114,0.030543262,-0.04642576,1511413946491
Thu Nov 23 00:12:26 EST 2017,0.019547688,-0.0012217305,-0.039095376,1511413946503
Thu Nov 23 00:12:26 EST 2017,0.07086037,0.012217305,-0.065973446,1511413946511
Thu Nov 23 00:12:26 EST 2017,-0.02687807,0.008552114,-0.10873401,1511413946520
Thu Nov 23 00:12:26 EST 2017,0.04520403,-0.0036651916,-0.10629055,1511413946530
Thu Nov 23 00:12:26 EST 2017,0.05497787,0.018325957,-0.14294247,1511413946541
Thu Nov 23 00:12:26 EST 2017,-0.007330383,0.012217305,-0.20280726,1511413946551
Thu Nov 23 00:12:26 EST 2017,0.05131268,0.004886922,-0.26389378,1511413946560
Thu Nov 23 00:12:26 EST 2017,0.017104227,-0.004886922,-0.29077184,1511413946570
Thu Nov 23 00:12:26 EST 2017,0.02687807,-0.02321288,-0.39584067,1511413946580
Thu Nov 23 00:12:26 EST 2017,-0.004886922,-0.030543262,-0.40194935,1511413946591
Thu Nov 23 00:12:26 EST 2017,0.07574729,-0.0036651916,-0.4447099,1511413946600
Thu Nov 23 00:12:26 EST 2017,-0.002443461,0.02076942,-0.48380527,1511413946610
Thu Nov 23 00:12:26 EST 2017,0.008552114,-0.008552114,-0.4728097,1511413946621
Thu Nov 23 00:12:26 EST 2017,0.081855945,0.035430185,-0.48380527,1511413946630
Thu Nov 23 00:12:26 EST 2017,-0.018325957,-0.043982297,-0.5155703,1511413946641
Thu Nov 23 00:12:26 EST 2017,0.047647487,-0.019547688,-0.5375614,1511413946650
Thu Nov 23 00:12:26 EST 2017,0.040317107,-0.007330383,-0.5742133,1511413946663
Thu Nov 23 00:12:26 EST 2017,-0.017104227,-0.004886922,-0.5925393,1511413946670
Thu Nov 23 00:12:26 EST 2017,0.05009095,-0.028099801,-0.61575216,1511413946680
